Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
148		0.1681		0.2382		0.0000		0.6413		0.00027437
149		0.1652		0.2365		0.0000		0.6305		0.00027276
150		0.1675		0.2339		0.0000		0.6428		0.00027116
151		0.1733		0.2299		0.0000		0.6498		0.00026955
152		0.1683		0.2187		0.0000		0.6653		0.00026794
153		0.1707		0.2273		0.0000		0.6535		0.00026634
154		0.1629		0.2465		0.0000		0.6263		0.00026473
155		0.1662		0.2372		0.0000		0.6413		0.00026312
156		0.1689		0.2235		0.0000		0.6457		0.00026150
157		0.1604		0.2354		0.0000		0.6337		0.00025989
158		0.1658		0.2257		0.0000		0.6479		0.00025828
159		0.1686		0.2212		0.0000		0.6531		0.00025666
160		0.1631		0.2335		0.0000		0.6516		0.00025505
161		0.1603		0.2219		0.0000		0.6568		0.00025343
162		0.1679		0.2448		0.0000		0.6217		0.00025181
163		0.1663		0.2273		0.0000		0.6380		0.00025019
164		0.1588		0.2504		0.0000		0.6202		0.00024857
165		0.1647		0.2512		0.0000		0.6313		0.00024695
166		0.1658		0.2229		0.0000		0.6546		0.00024533
167		0.1585		0.2141		0.0000		0.6812		0.00024370
168		0.1592		0.2217		0.0000		0.6458		0.00024208
169		0.1622		0.2163		0.0000		0.6662		0.00024045
170		0.1640		0.2282		0.0000		0.6459		0.00023882
171		0.1640		0.2306		0.0000		0.6564		0.00023719
172		0.1542		0.2246		0.0000		0.6625		0.00023556
173		0.1697		0.2130		0.0000		0.6710		0.00023393
174		0.1544		0.2322		0.0000		0.6452		0.00023230
175		0.1546		0.2176		0.0000		0.6618		0.00023067
176		0.1574		0.2166		0.0000		0.6645		0.00022903
177		0.1576		0.2188		0.0000		0.6678		0.00022739
178		0.1583		0.2360		0.0000		0.6445		0.00022576
179		0.1567		0.2198		0.0000		0.6712		0.00022412
180		0.1612		0.2298		0.0000		0.6626		0.00022248
181		0.1591		0.2249		0.0000		0.6426		0.00022083
182		0.1556		0.2191		0.0000		0.6638		0.00021919
183		0.1542		0.2272		0.0000		0.6417		0.00021755
184		0.1521		0.2216		0.0000		0.6650		0.00021590
185		0.1498		0.2271		0.0000		0.6694		0.00021425
186		0.1574		0.2206		0.0000		0.6795		0.00021260
187		0.1543		0.2304		0.0000		0.6483		0.00021095
188		0.1515		0.2224		0.0000		0.6711		0.00020930
189		0.1565		0.2300		0.0000		0.6453		0.00020765
190		0.1536		0.2163		0.0000		0.6692		0.00020600
191		0.1489		0.2251		0.0000		0.6610		0.00020434
192		0.1495		0.2289		0.0000		0.6622		0.00020268
193		0.1559		0.2179		0.0000		0.6674		0.00020102
194		0.1481		0.2312		0.0000		0.6464		0.00019936
195		0.1479		0.2325		0.0000		0.6641		0.00019770
196		0.1524		0.2888		0.0000		0.5806		0.00019604
197		0.1553		0.2162		0.0000		0.6749		0.00019437
198		0.1546		0.2183		0.0000		0.6746		0.00019270
199		0.1485		0.2146		0.0000		0.6941		0.00019104
200		0.1448		0.2233		0.0000		0.6468		0.00018937
201		0.1480		0.2174		0.0000		0.6738		0.00018769
202		0.1505		0.2161		0.0000		0.6828		0.00018602
203		0.1524		0.2204		0.0000		0.6717		0.00018435
204		0.1510		0.2172		0.0000		0.6611		0.00018267
205		0.1429		0.2241		0.0000		0.6611		0.00018099
206		0.1496		0.2215		0.0000		0.6543		0.00017931
207		0.1441		0.2160		0.0000		0.6889		0.00017763
208		0.1534		0.2151		0.0000		0.6731		0.00017594
209		0.1442		0.2296		0.0000		0.6603		0.00017426
210		0.1483		0.2218		0.0000		0.6565		0.00017257
211		0.1419		0.2170		0.0000		0.6652		0.00017088
212		0.1437		0.2126		0.0000		0.6855		0.00016919
213		0.1461		0.2084		0.0000		0.6899		0.00016750
214		0.1429		0.2226		0.0000		0.6691		0.00016580
215		0.1471		0.2203		0.0000		0.6664		0.00016411
216		0.1395		0.2194		0.0000		0.6709		0.00016241
217		0.1423		0.2183		0.0000		0.6744		0.00016071
218		0.1438		0.2161		0.0000		0.6655		0.00015901
219		0.1429		0.2168		0.0000		0.6725		0.00015730
220		0.1426		0.2345		0.0000		0.6464		0.00015559
221		0.1411		0.2144		0.0000		0.6823		0.00015389
222		0.1389		0.2200		0.0000		0.6694		0.00015217
223		0.1394		0.2136		0.0000		0.6840		0.00015046
224		0.1474		0.2203		0.0000		0.6532		0.00014875
225		0.1394		0.2107		0.0000		0.6941		0.00014703
226		0.1365		0.2142		0.0000		0.6846		0.00014531
227		0.1407		0.2205		0.0000		0.6803		0.00014359
228		0.1386		0.2092		0.0000		0.6637		0.00014186
229		0.1413		0.2109		0.0000		0.6808		0.00014014
230		0.1352		0.2210		0.0000		0.6941		0.00013841
231		0.1350		0.2158		0.0000		0.6857		0.00013668
232		0.1361		0.2277		0.0000		0.6567		0.00013494
233		0.1344		0.2165		0.0000		0.6752		0.00013321
234		0.1368		0.2168		0.0000		0.6917		0.00013147
235		0.1366		0.2251		0.0000		0.6589		0.00012973
236		0.1335		0.2180		0.0000		0.6687		0.00012798
237		0.1377		0.2200		0.0000		0.6746		0.00012624
238		0.1322		0.2211		0.0000		0.6839		0.00012449
239		0.1354		0.2166		0.0000		0.6763		0.00012273
240		0.1334		0.2129		0.0000		0.6699		0.00012098
241		0.1332		0.2183		0.0000		0.6648		0.00011922
242		0.1329		0.2116		0.0000		0.6860		0.00011746
243		0.1356		0.2160		0.0000		0.6859		0.00011570
244		0.1329		0.2167		0.0000		0.6690		0.00011393
245		0.1312		0.2178		0.0000		0.6783		0.00011216
246		0.1331		0.2126		0.0000		0.6924		0.00011039
247		0.1301		0.2154		0.0000		0.6787		0.00010861
248		0.1293		0.2216		0.0000		0.6855		0.00010684
249		0.1299		0.2103		0.0000		0.6933		0.00010505
250		0.1277		0.2185		0.0000		0.6916		0.00010327
251		0.1285		0.2158		0.0000		0.6712		0.00010148
252		0.1327		0.2145		0.0000		0.6921		0.00009969
253		0.1283		0.2152		0.0000		0.6882		0.00009789
254		0.1348		0.2218		0.0000		0.6677		0.00009609
255		0.1279		0.2141		0.0000		0.6722		0.00009429
256		0.1280		0.2505		0.0000		0.6550		0.00009248
257		0.1272		0.2166		0.0000		0.6918		0.00009067
258		0.1283		0.2094		0.0000		0.6831		0.00008885
259		0.1275		0.2132		0.0000		0.6858		0.00008703
260		0.1265		0.2120		0.0000		0.6870		0.00008521
261		0.1264		0.2138		0.0000		0.6924		0.00008338
262		0.1260		0.2095		0.0000		0.6811		0.00008155
263		0.1244		0.2128		0.0000		0.6957		0.00007971
264		0.1253		0.2118		0.0000		0.6840		0.00007787
265		0.1253		0.2108		0.0000		0.6812		0.00007602
266		0.1242		0.2195		0.0000		0.6785		0.00007417
267		0.1235		0.2089		0.0000		0.7010		0.00007231
268		0.1230		0.2299		0.0000		0.6533		0.00007045
269		0.1237		0.2125		0.0000		0.6895		0.00006858
270		0.1216		0.2110		0.0000		0.6985		0.00006671
271		0.1240		0.2126		0.0000		0.6928		0.00006483
272		0.1212		0.2087		0.0000		0.7013		0.00006295
273		0.1211		0.2074		0.0000		0.6980		0.00006105
274		0.1210		0.2124		0.0000		0.6868		0.00005916
275		0.1207		0.2067		0.0000		0.7019		0.00005725
276		0.1201		0.2199		0.0000		0.6853		0.00005534
277		0.1199		0.2185		0.0000		0.6749		0.00005342
278		0.1192		0.2093		0.0000		0.7038		0.00005149
279		0.1190		0.2124		0.0000		0.6980		0.00004956
280		0.1184		0.2148		0.0000		0.6956		0.00004761
281		0.1187		0.2122		0.0000		0.6907		0.00004566
282		0.1175		0.2139		0.0000		0.6921		0.00004370
283		0.1183		0.2154		0.0000		0.6831		0.00004173
284		0.1183		0.2139		0.0000		0.6803		0.00003975
285		0.1175		0.2113		0.0000		0.6813		0.00003775
286		0.1166		0.2123		0.0000		0.6869		0.00003575
287		0.1167		0.2112		0.0000		0.6998		0.00003373
288		0.1160		0.2125		0.0000		0.6995		0.00003170
289		0.1155		0.2120		0.0000		0.7032		0.00002966
290		0.1152		0.2087		0.0000		0.6814		0.00002759
291		0.1152		0.2105		0.0000		0.6906		0.00002552
292		0.1144		0.2091		0.0000		0.6915		0.00002342
293		0.1148		0.2105		0.0000		0.6907		0.00002130
294		0.1139		0.2111		0.0000		0.6974		0.00001916
295		0.1137		0.2164		0.0000		0.6930		0.00001699
296		0.1136		0.2098		0.0000		0.7023		0.00001479
297		0.1133		0.2087		0.0000		0.7027		0.00001255
298		0.1129		0.2104		0.0000		0.7039		0.00001027
299		0.1129		0.2095		0.0000		0.6980		0.00000792
300		0.1125		0.2104		0.0000		0.6989		0.00000550
