Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
239		0.1271		0.2731		0.0000		0.6189		0.00012273
240		0.1251		0.2321		0.0000		0.6710		0.00012098
241		0.1165		0.2390		0.0000		0.6609		0.00011922
242		0.1145		0.2458		0.0000		0.6468		0.00011746
243		0.1138		0.2397		0.0000		0.6633		0.00011570
244		0.1169		0.2464		0.0000		0.6536		0.00011393
245		0.1150		0.2406		0.0000		0.6744		0.00011216
246		0.1159		0.2444		0.0000		0.6695		0.00011039
247		0.1143		0.2777		0.0000		0.6447		0.00010861
248		0.1166		0.2530		0.0000		0.6673		0.00010684
249		0.1124		0.2439		0.0000		0.6696		0.00010505
250		0.1137		0.2408		0.0000		0.6616		0.00010327
251		0.1121		0.2485		0.0000		0.6419		0.00010148
252		0.1126		0.2462		0.0000		0.6695		0.00009969
253		0.1128		0.2585		0.0000		0.6569		0.00009789
254		0.1140		0.2422		0.0000		0.6725		0.00009609
255		0.1113		0.2418		0.0000		0.6702		0.00009429
256		0.1124		0.2455		0.0000		0.6660		0.00009248
257		0.1097		0.2449		0.0000		0.6713		0.00009067
258		0.1102		0.2486		0.0000		0.6682		0.00008885
259		0.1113		0.2575		0.0000		0.6598		0.00008703
260		0.1127		0.2467		0.0000		0.6710		0.00008521
261		0.1082		0.2427		0.0000		0.6728		0.00008338
262		0.1091		0.2399		0.0000		0.6695		0.00008155
263		0.1090		0.2404		0.0000		0.6742		0.00007971
264		0.1078		0.2356		0.0000		0.6715		0.00007787
265		0.1077		0.2466		0.0000		0.6706		0.00007602
266		0.1077		0.2453		0.0000		0.6675		0.00007417
267		0.1078		0.2470		0.0000		0.6702		0.00007231
268		0.1069		0.2435		0.0000		0.6678		0.00007045
269		0.1063		0.2527		0.0000		0.6686		0.00006858
270		0.1059		0.2455		0.0000		0.6653		0.00006671
271		0.1056		0.2542		0.0000		0.6575		0.00006483
272		0.1064		0.2508		0.0000		0.6620		0.00006295
273		0.1051		0.2420		0.0000		0.6717		0.00006105
274		0.1048		0.2444		0.0000		0.6730		0.00005916
275		0.1037		0.2429		0.0000		0.6719		0.00005725
